env,method,run,env_steps,return
atari_alien,dreamerv2,atari_alien_nosched_1,153000000.0,3737.0
atari_alien,dreamerv2,atari_alien_nosched_1,154000000.0,3955.0
atari_alien,dreamerv2,atari_alien_nosched_1,155000000.0,3442.0
atari_alien,dreamerv2,atari_alien_nosched_1,156000000.0,2642.0
atari_alien,dreamerv2,atari_alien_nosched_1,157000000.0,3088.0
atari_alien,dreamerv2,atari_alien_nosched_1,158000000.0,3545.0
atari_alien,dreamerv2,atari_alien_nosched_1,159000000.0,3693.0
atari_alien,dreamerv2,atari_alien_nosched_1,160000000.0,2573.0
atari_alien,dreamerv2,atari_alien_nosched_1,161000000.0,4253.0
atari_alien,dreamerv2,atari_alien_nosched_1,162000000.0,4410.0
atari_alien,dreamerv2,atari_alien_nosched_1,163000000.0,2865.0
atari_alien,dreamerv2,atari_alien_nosched_1,164000000.0,2797.0
atari_alien,dreamerv2,atari_alien_nosched_1,165000000.0,4744.0
atari_alien,dreamerv2,atari_alien_nosched_1,166000000.0,3704.0
atari_alien,dreamerv2,atari_alien_nosched_1,167000000.0,4206.0
atari_alien,dreamerv2,atari_alien_nosched_1,168000000.0,4161.0
atari_alien,dreamerv2,atari_alien_nosched_1,169000000.0,3350.0
atari_alien,dreamerv2,atari_alien_nosched_1,170000000.0,4970.0
atari_alien,dreamerv2,atari_alien_nosched_1,171000000.0,3889.0
atari_alien,dreamerv2,atari_alien_nosched_1,172000000.0,3165.0
atari_alien,dreamerv2,atari_alien_nosched_1,173000000.0,4042.0
atari_alien,dreamerv2,atari_alien_nosched_1,174000000.0,3760.0
atari_alien,dreamerv2,atari_alien_nosched_1,175000000.0,3045.0
atari_alien,dreamerv2,atari_alien_nosched_1,176000000.0,2907.0
atari_alien,dreamerv2,atari_alien_nosched_1,177000000.0,3208.0
atari_alien,dreamerv2,atari_alien_nosched_1,178000000.0,3386.0
atari_alien,dreamerv2,atari_alien_nosched_1,179000000.0,4304.0
atari_alien,dreamerv2,atari_alien_nosched_1,180000000.0,3715.0
atari_alien,dreamerv2,atari_alien_nosched_1,181000000.0,2838.0
atari_alien,dreamerv2,atari_alien_nosched_1,182000000.0,2586.0
atari_alien,dreamerv2,atari_alien_nosched_1,183000000.0,3560.0
atari_alien,dreamerv2,atari_alien_nosched_1,184000000.0,3649.0
atari_alien,dreamerv2,atari_alien_nosched_1,185000000.0,2623.0
